drive_id,name,map_id,map_url
1sho9xZgrrKRRcFSuyh3uS2BfP6dZW51B,Lakeview Seventh-day Adventist Church,E016661,https://drive.google.com/drive/folders/1sho9xZgrrKRRcFSuyh3uS2BfP6dZW51B
1sXz7MtqoxSWUrPSVVbjLSs-tAlbcVxYD,Lansing Seventh-day Adventist Church,E016663,https://drive.google.com/drive/folders/1sXz7MtqoxSWUrPSVVbjLSs-tAlbcVxYD
1sTPhOsKyOPNUX64-Ez57F2-oubwZxXpL,Lansing Spanish Seventh-day Adventist Church,E016664,https://drive.google.com/drive/folders/1sTPhOsKyOPNUX64-Ez57F2-oubwZxXpL
1sJ-cNb1YRiudckYMsRwk-8hhbFNt5xu2,Lapeer Seventh-day Adventist Church,E016666,https://drive.google.com/drive/folders/1sJ-cNb1YRiudckYMsRwk-8hhbFNt5xu2
1sDzv5zzFNjBaLLizEhOdyA7Cu2x4H0Lt,Livingston Seventh-day Adventist Church,E016640,https://drive.google.com/drive/folders/1sDzv5zzFNjBaLLizEhOdyA7Cu2x4H0Lt
1sCSB4vt83nNiddpKHQuxM6DnHGgGWKkb,Lowell Riverside Fellowship SDA,E019703,https://drive.google.com/drive/folders/1sCSB4vt83nNiddpKHQuxM6DnHGgGWKkb
1sCFLAoQ_Vj_tfogHPxpxB1P7eMrAKTgo,Ludington Seventh-day Adventist Church,E016670,https://drive.google.com/drive/folders/1sCFLAoQ_Vj_tfogHPxpxB1P7eMrAKTgo
1rxPfGimUnsE9rrzKfRfkrxShAkm-2S2i,Manistee Seventh-day Adventist Church,E016671,https://drive.google.com/drive/folders/1rxPfGimUnsE9rrzKfRfkrxShAkm-2S2i
1rs_x4FBxkQEXeqM8UAW1NALmiwTpnELi,Manistique Seventh-day Adventist Church,E016673,https://drive.google.com/drive/folders/1rs_x4FBxkQEXeqM8UAW1NALmiwTpnELi
1rqf28US4f_kN2I2a3PtanXIQ2fVGmLP4,Manton Seventh-day Adventist Church,E016674,https://drive.google.com/drive/folders/1rqf28US4f_kN2I2a3PtanXIQ2fVGmLP4
1rnuVZxRwqBLshL0q7KLk_SwHx8L7s6nR,Marion Seventh-day Adventist Church,E016675,https://drive.google.com/drive/folders/1rnuVZxRwqBLshL0q7KLk_SwHx8L7s6nR
1tidTXk-Id-7msduhArYoSPguGz8x26D_,Marquette Seventh-day Adventist Church,E016676,https://drive.google.com/drive/folders/1tidTXk-Id-7msduhArYoSPguGz8x26D_
1tey3KJlngXlY6jqFyK5aND-HgvO7aNPJ,Marshall Seventh-day Adventist Church,E016677,https://drive.google.com/drive/folders/1tey3KJlngXlY6jqFyK5aND-HgvO7aNPJ
1taY-ptGp5Selzk-oQTSC7wM2iSO6t8Y8,McMillan Northwoods Seventh-day Adventist Church,E016679,https://drive.google.com/drive/folders/1taY-ptGp5Selzk-oQTSC7wM2iSO6t8Y8
1tUwSsq3t4GdZx2ucVWaEe6AEkKGyPpOG,Menominee Seventh-day Adventist Church,E016681,https://drive.google.com/drive/folders/1tUwSsq3t4GdZx2ucVWaEe6AEkKGyPpOG
1tTxMm9mtvk0WGsxLkTWzvZP4VZqVBEn5,Mesick Seventh-day Adventist Church,E016682,https://drive.google.com/drive/folders/1tTxMm9mtvk0WGsxLkTWzvZP4VZqVBEn5
1tSyz031ypG8hEYV-wnyBRyqFWt5BMrL4,Metropolitan Seventh-day Adventist Church,E016683,https://drive.google.com/drive/folders/1tSyz031ypG8hEYV-wnyBRyqFWt5BMrL4
1tQDhXRkUgerdm66_dE38D4jTu01oJhz8,Michiana Filipino-American Seventh-day Adventist Church,E016592,https://drive.google.com/drive/folders/1tQDhXRkUgerdm66_dE38D4jTu01oJhz8
1tN4GPoX__d4Vfuc9eqDHY99VKkf2oC5z,Midland Seventh-day Adventist Church,E016684,https://drive.google.com/drive/folders/1tN4GPoX__d4Vfuc9eqDHY99VKkf2oC5z
1tMkFK7BgCXKB8MKcul27ZVZzEutjY8pF,Mio Seventh-day Adventist Church,E016685,https://drive.google.com/drive/folders/1tMkFK7BgCXKB8MKcul27ZVZzEutjY8pF
1tIfkWghaaTHN11W6Bh65hF7XNgaRJ0au,Monroe Seventh-day Adventist Church,E016686,https://drive.google.com/drive/folders/1tIfkWghaaTHN11W6Bh65hF7XNgaRJ0au
1tIS0ZEPXDB_-xuMaP2Tt6blyRrKy-YAX,Mount Pleasant Seventh-day Adventist Church,E016688,https://drive.google.com/drive/folders/1tIS0ZEPXDB_-xuMaP2Tt6blyRrKy-YAX
